IdLista;IdProducto;Importe;Porcentaje;cantidadminima
1;323;30;245,4436313;1
1;6314;90;345,8331746;1
2;6314;54;167,4999047;1
4;6314;52;157,5925009;1
4;6322;42;270,3452486;1
2;6322;42;270,3452486;1
1;6322;80;605,4195211;1
1;549;70;1014,513166;1
2;549;28;345,8052664;1
4;549;28;345,8052664;1
4;16228;310;70,99071291;1
1;16228;500;175,7914724;1
2;16228;328;80,91920592;1
1;1454;810;75,21090201;1
2;1454;604;30,65109236;1
4;1454;569;23,08025092;1
1;18431;240;225,0711093;1
2;18431;126;70,66233239;1
4;18431;119;61,1810917;1
4;17421;271;70,6495194;1
1;17421;440;177,0693304;1
2;17421;288;81,3544708;1
4;16935;98;43,76499575;1
1;16935;230;237,4076431;1
2;16935;104;52,56693427;1
1;1154;70;1002,095192;1
2;1154;28;340,8380768;1
4;1154;28;340,8380768;1
1;4671;100;436,7686527;1
2;4671;68;265,0026838;1
4;4671;61;227,4288782;1
4;10446;59;41,30834218;1
1;10446;220;426,9124624;1
2;10446;65;55,67868206;1
1;10935;530;126,051352;1
2;10935;380;62,07455429;1
4;10935;354;50,98524269;1
1;541;220;395,8047292;1
2;541;118;165,9316275;1
4;541;100;125,365786;1
2;17318;49;28,82896375;1
1;17318;80;110,333002;1
4;17318;47;23,5706387;5
1;18426;150;193,7720726;1
4;18426;83;62,55388017;1
2;18426;88;72,34628259;1
4;18243;236;40,23504463;1
2;18243;256;52,11937045;1
2;13946;39;52,02397647;1
4;13946;37;44,22787512;1
1;18243;530;214,9346341;1
1;13946;80;211,8440543;1
1;3139;70;1714,918229;1
2;3139;26;574,112485;1
4;3139;26;574,112485;1
1;13475;500;74,03411069;1
2;13475;374;30,17751479;1
4;13475;360;25,30455969;1
1;18402;810;104,8713863;1
2;18402;634;60,35612211;1
4;18402;595;50,49194425;1
1;16226;290;182,7751625;1
2;16226;187;82,34122545;1
4;16226;177;72,59035778;1
2;12517;33;54,27769986;1
4;12517;30;40,25245442;1
1;12517;120;461,0098177;1
1;16643;460;118,3489026;1
2;16643;301;42,87612972;1
4;16643;282;33,8573707;1
1;16610;210;229,1142815;1
2;16610;97;52,01945385;1
4;16610;88;37,91455607;1
4;328;7;1030,434905;100
